bin_center,sigma,d_sigma
1257000.0,2.010264832925744,0.07110868925446148
1259000.0,1.9847180925200028,0.0795203103726597
1261000.0,1.9163546450062956,0.0667512782122107
1263000.0,1.949680850058932,0.0698527383220379
1265000.0,2.079281326699784,0.0741174900571114
1267000.0,2.2672531147109005,0.05126902409093481
1269000.0,2.0714002875674487,0.0795017744357088
1271000.0,2.048620797052744,0.071849307113942
1273000.0,2.0399098023184377,0.07935401543990368
1275000.0,2.007787825068561,0.0704985229609052
1277000.0,1.9684910648223737,0.0718750731734187
1279000.0,1.9772147682825496,0.0686578497124079
1281000.0,2.0101950149002965,0.0727994685343074
1283000.0,2.2597137213449723,0.05187405641164015
1285000.0,2.1164032090670424,0.0800795257741588
1287000.0,2.193088052850946,0.0721196291445646
1289000.0,2.21974585153924,0.0756905399145831
1291000.0,2.187359771708637,0.0748809702760916
1293000.0,2.1448862810849394,0.0715845800258266
1295000.0,2.1329895259490694,0.08090263290501008
1297000.0,2.247412028806727,0.0753649525643195
1299000.0,2.41421405246823,0.0867457062728387
1301000.0,2.403296102116294,0.07724733714088719
1303000.0,2.287011686483532,0.0767300365409028
1305000.0,2.204577689396007,0.0727701154984689
1307000.0,2.157912425011647,0.0753996699022973
1309000.0,2.2005027759437734,0.07032867323972578
1311000.0,2.197843468195132,0.0818092725975002
1313000.0,2.2627819221841294,0.0762719176586596
1315000.0,2.3381689697544448,0.0841721191644754
1317000.0,2.43457428437839,0.0784518793726501
1319000.0,2.479216925890936,0.08065308571687863
1321000.0,2.2964870943374844,0.071797800386339
1323000.0,2.282656048579535,0.0740344071204987
1325000.0,2.447548824699437,0.07734289031972912
1327000.0,2.750198389477983,0.0776887529958294
1329000.0,3.814850998895285,0.0945565501339944
1331000.0,7.499903918152033,0.1062737202673508
1333000.0,15.092625268785213,0.16108338615900036
1335000.0,19.065744155917216,0.16527110775814302
1337000.0,18.780210094679724,0.1525175420813717
1339000.0,15.191731571579233,0.1319948914471153
1341000.0,10.190231766018965,0.1049777264873888
1343000.0,6.173145737133025,0.0845739848352426
1345000.0,4.2329965556324884,0.07234088484024193
1347000.0,3.444717347698774,0.0723365772920566
1349000.0,3.2195620687609607,0.07774715926132932
1351000.0,2.9262150807996328,0.0783213068781944
1353000.0,2.743736791562569,0.0887389618001957
1355000.0,2.7237095784694114,0.07586940239280711
1357000.0,2.640496181122517,0.0794115955513833
1359000.0,2.6667091224768495,0.0800810057768417
1361000.0,2.7113765866086754,0.07560926227394316
1363000.0,2.6041314745427453,0.08497386254992638
1365000.0,2.5552604468251197,0.0797713721150866
1367000.0,2.7432654774286447,0.06182169555724663
1369000.0,2.6004767847730528,0.07625713031659438
1371000.0,2.630498081612296,0.0870991814033155
1373000.0,2.617153322674694,0.081310520539886
1375000.0,2.5574009694709945,0.0838758857208112
1377000.0,2.5484395589040565,0.0776472754403429
1379000.0,2.563537170327518,0.0781705482152898
1381000.0,2.5477885125226405,0.0762266669421814
1383000.0,2.748064663424622,0.05950972504757968
1385000.0,2.5523973414059973,0.07593672076478551
1387000.0,2.6067124243480793,0.0842925885445585
1389000.0,2.7158258293882134,0.0769043676607356
1391000.0,2.724294688990355,0.08848896410711639
1393000.0,2.669362685108601,0.0797202074231866
1395000.0,2.5978327895997393,0.0849326635060142
1397000.0,2.724190399258528,0.05891910324366791
1399000.0,2.4396258481782147,0.0822253032213308
1401000.0,2.317415340466131,0.0733832738141478
1403000.0,2.2982354653046366,0.0782746986819327
1405000.0,2.471942490536107,0.0777311774409367
1407000.0,2.639744386598421,0.0863543972382813
1409000.0,2.716281906082213,0.0776468341279419
1411000.0,2.743083410510961,0.0808638799154962
1413000.0,2.8381151028868445,0.059918219214946986
1415000.0,2.7186543741915945,0.078011191657439
1417000.0,2.6935194466164933,0.0851867263598459
1419000.0,2.698931660947846,0.08160189934998288
1421000.0,2.710512972805819,0.086590862082601
1423000.0,2.668048829109688,0.0811754278366513
1425000.0,2.6022698760833296,0.0824152681276282
1427000.0,2.7620971251184487,0.05933601540022476
1429000.0,2.6810847554692394,0.0850335609764127
1431000.0,2.764654241513348,0.0820222899307874
1433000.0,2.8301170541746496,0.088264629973777
1435000.0,2.7910257753260925,0.0828599439008998
1437000.0,2.696463739486955,0.0833082795897701
1439000.0,2.67467186783408,0.0796880439966035
1441000.0,2.7141900055022012,0.0857569209905246
1443000.0,2.8984428958955224,0.061698960036841284
1445000.0,2.824126455478767,0.0879938097114053
1447000.0,2.83376175715582,0.0838138643671794
1449000.0,2.815144645637751,0.0870424122501662
1451000.0,2.8028153452376525,0.08294760423260969
1453000.0,2.804627461083366,0.0868075117264038
1455000.0,2.831075181892398,0.0831783825463002
1457000.0,3.0456707321760867,0.06559257324755952
1459000.0,2.9235962141437883,0.08419539819019521
1461000.0,2.962341995526831,0.08850329969280402
1463000.0,2.9616287019513163,0.08273732520709161
1465000.0,2.9282634147860693,0.0811528377482175
1467000.0,2.8974693940840046,0.08028822759537209
1469000.0,2.910500772244229,0.080636261611923
1471000.0,3.007237951983723,0.08173028823138
1473000.0,3.208069089618968,0.06729356160720269
1475000.0,3.144422053280441,0.08499611954987699
1477000.0,3.1302978505006935,0.0901998939230253
1479000.0,3.0644023004890015,0.0862592976735894
1481000.0,3.0192367752909837,0.1012624304774135
1483000.0,3.0843070160768744,0.08475915887688189
1485000.0,3.186320937297075,0.0872299351103602
1487000.0,3.311234014560202,0.06726983779632649
1489000.0,3.1089222757383186,0.0792186082440248
1491000.0,3.0870418137047393,0.0778710231571761
1493000.0,3.1003090794555823,0.0894465917144789
1495000.0,3.1097129197205344,0.0871183224799254
1497000.0,3.1225617830182784,0.103140484403532
1499000.0,3.203222775079943,0.0924617204787557
1501000.0,3.3548747856821057,0.1086837383983377
1503000.0,3.6429192873553853,0.0862016720401556
