DatasetID,year1,author1,DATA (B) 0.1,ERR-S (PER-CENT) 0.944,ERR-1 (PER-CENT) 0.955,ERR-2 (PER-CENT) 0.955,ERR-3 (PER-CENT) 0.955,EN (EV) 1.1,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
F0786004,2005,S.Harissopulos+,0.0123,,2,3,1.7,1.918e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F0786004,2005,S.Harissopulos+,0.0137,,2,3,1.7,1.928e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F0786004,2005,S.Harissopulos+,0.0148,,2,3,1.7,1.938e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F0786004,2005,S.Harissopulos+,0.0158,,2,3,1.7,1.948e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F0786004,2005,S.Harissopulos+,0.0173,,2,3,1.7,1.958e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F0786004,2005,S.Harissopulos+,0.0188,,2,3,1.7,1.968e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F0786004,2005,S.Harissopulos+,0.0205,,2,3,1.7,1.978e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F0786004,2005,S.Harissopulos+,0.0226,,2,3,1.7,1.988e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F0786004,2005,S.Harissopulos+,0.0246,,2,3,1.7,1.998e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F0786004,2005,S.Harissopulos+,0.028,,2,3,1.7,2.009e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F0786004,2005,S.Harissopulos+,0.0306,,2,3,1.7,2.019e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F0786004,2005,S.Harissopulos+,0.0336,,2,3,1.7,2.028e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F0786004,2005,S.Harissopulos+,0.037,,2,3,1.7,2.038e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F0786004,2005,S.Harissopulos+,0.0403,,2,3,1.7,2.048e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
