DatasetID,year1,author1,DATA (B) 0.1,ERR-1 (PER-CENT) 0.955,ERR-2 (PER-CENT) 0.955,ERR-DIG (B) 0.955,EN (EV) 1.1,EN-ERR-DIG (EV) 1.955,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
D6089002,1967,K.K.Sekharan+,0.027221,12,2,5.0e-4,3.1243e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.028913,12,2,5.0e-4,3.1438e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.03074,12,2,5.0e-4,3.1492e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.033134,12,2,5.0e-4,3.1686e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.035104,12,2,5.0e-4,3.1796e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.037355,12,2,5.0e-4,3.1934e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.039887,12,2,5.0e-4,3.2044e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.043404,12,2,5.0e-4,3.2209e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.046356,12,2,5.0e-4,3.229e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
D6089002,1967,K.K.Sekharan+,0.05535,12,2,5.0e-4,3.2393e+6,5000,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
