DATA (B) 0.1,DATA-ERR (B) 0.911,EN (EV) 1.1,EN-ERR (PER-CENT) 1.911
0.06276,6.15e-4,2.129e+6,0.15
0.06077,6.06e-4,2.133e+6,0.15
0.05942,5.99e-4,2.138e+6,0.15
0.0592,5.98e-4,2.143e+6,0.15
0.05806,5.92e-4,2.148e+6,0.15
0.05867,5.95e-4,2.153e+6,0.15
0.05852,5.95e-4,2.158e+6,0.15
0.06005,6.03e-4,2.162e+6,0.15
0.05841,5.94e-4,2.167e+6,0.15
0.06021,6.04e-4,2.172e+6,0.15
0.06125,6.08e-4,2.177e+6,0.15
0.06396,6.22e-4,2.182e+6,0.15
0.06729,6.38e-4,2.187e+6,0.15
0.07136,6.57e-4,2.192e+6,0.15
0.07486,6.71e-4,2.197e+6,0.15
0.08025,6.96e-4,2.201e+6,0.15
0.08565,7.18e-4,2.207e+6,0.15
0.09123,7.41e-4,2.211e+6,0.15
0.09758,7.67e-4,2.216e+6,0.15
0.103,7.88e-4,2.2211e+6,0.15
0.1094,8.11e-4,2.2261e+6,0.15
0.1133,8.26e-4,2.2311e+6,0.15
0.1168,8.38e-4,2.2361e+6,0.15
0.1173,8.4e-4,2.2411e+6,0.15
0.1191,8.46e-4,2.2461e+6,0.15
0.1187,8.45e-4,2.2511e+6,0.15
0.1155,8.34e-4,2.2561e+6,0.15
0.1131,8.25e-4,2.2601e+6,0.15
0.1094,8.11e-4,2.2661e+6,0.15
0.1056,7.98e-4,2.2711e+6,0.15
0.1014,7.82e-4,2.2761e+6,0.15
0.1003,7.78e-4,2.2801e+6,0.15
0.09648,7.63e-4,2.2851e+6,0.15
0.09382,7.52e-4,2.2901e+6,0.15
0.08965,7.35e-4,2.2951e+6,0.15
0.08824,7.3e-4,2.3001e+6,0.15
0.08662,7.23e-4,2.3051e+6,0.15
0.08575,7.2e-4,2.3101e+6,0.15
0.08307,7.08e-4,2.3161e+6,0.15
0.08128,7.01e-4,2.3211e+6,0.15
0.0803,6.96e-4,2.3261e+6,0.15
0.08133,7.01e-4,2.3311e+6,0.15
0.08113,7.0e-4,2.3361e+6,0.15
0.08144,7.02e-4,2.3411e+6,0.15
0.08128,7.01e-4,2.3461e+6,0.15
0.08381,7.11e-4,2.3511e+6,0.15
0.08519,7.18e-4,2.3561e+6,0.15
0.08542,7.19e-4,2.3611e+6,0.15
0.0882,7.29e-4,2.3661e+6,0.15
0.09168,7.44e-4,2.3711e+6,0.15
0.09403,7.54e-4,2.3761e+6,0.15
